N_SEC;UBIGEO;REG_NAT;DEPARTAMENTO;PROVINCIA;DISTRITO;POB_TOTAL;POB_URBANA;POB_RURAL;GPC_DOM;QRESIDUOS_DOM;QRESIDUOS_NO_DOM;QRESIDUOS_MUN;PERIODO
355;40124;SIERRA;AREQUIPA;AREQUIPA;UCHUMAYO;12246;10730;1516;0.56;2193.25;939.96;3133.21;2014
356;40125;COSTA;AREQUIPA;AREQUIPA;VITOR  ;2399;1271;1128;0.46;215.2;92.23;307.44;2014
357;40126;SIERRA;AREQUIPA;AREQUIPA;YANAHUARA;25242;25242;0;0.54;5008.34;2146.43;7154.78;2014
358;40127;SIERRA;AREQUIPA;AREQUIPA;YARABAMBA;1121;720;401;0.45;118.14;50.63;168.77;2014
359;40128;SIERRA;AREQUIPA;AREQUIPA;YURA;24007;22150;1857;0.45;3652.99;1565.57;5218.56;2014
360;40129;SIERRA;AREQUIPA;AREQUIPA;JOSE LUIS BUSTAMANTE Y RIVERO;77019;77019;0;0.52;14665.28;6285.12;20950.4;2014
361;40201;COSTA;AREQUIPA;CAMANA;CAMANA;14584;14469;115;0.62;3274.42;1403.32;4677.74;2014
362;40202;COSTA;AREQUIPA;CAMANA;JOSE MARIA QUIMPER;4124;3801;323;0.4;554.9;237.81;792.72;2014
363;40203;COSTA;AREQUIPA;CAMANA;MARIANO NICOLAS VALCARCEL;6531;937;5594;0.46;158.71;68.02;226.72;2014
364;40204;COSTA;AREQUIPA;CAMANA;MARISCAL CACERES;6278;5407;871;0.57;1124.91;482.1;1607.01;2014
365;40205;COSTA;AREQUIPA;CAMANA;NICOLAS DE PIEROLA;6304;5573;731;0.4;813.7;348.73;1162.43;2014
366;40206;COSTA;AREQUIPA;CAMANA;OCOÑA;4804;3792;1012;0.29;401.43;172.04;573.47;2014
367;40207;COSTA;AREQUIPA;CAMANA;QUILCA;682;175;507;0.46;29.65;12.71;42.36;2014
368;40208;COSTA;AREQUIPA;CAMANA;SAMUEL PASTOR;15058;13754;1304;0.38;1907.69;817.58;2725.27;2014
369;40301;SIERRA;AREQUIPA;CARAVELI;CARAVELI;3749;3674;75;0.45;602.46;258.2;860.65;2014
370;40302;COSTA;AREQUIPA;CARAVELI;ACARI;3318;2916;402;0.46;493.64;211.56;705.2;2014
371;40303;COSTA;AREQUIPA;CARAVELI;ATICO;4173;3295;878;0.27;324.73;139.17;463.9;2014
372;40304;COSTA;AREQUIPA;CARAVELI;ATIQUIPA;900;159;741;0.46;26.97;11.56;38.53;2014
373;40305;COSTA;AREQUIPA;CARAVELI;BELLA UNION;6279;2105;4174;0.4;307.29;131.69;438.98;2014
374;40306;SIERRA;AREQUIPA;CARAVELI;CAHUACHO;908;260;648;0.45;42.59;18.25;60.85;2014
375;40307;COSTA;AREQUIPA;CARAVELI;CHALA;6575;6046;529;0.46;1023.51;438.65;1462.16;2014
376;40308;COSTA;AREQUIPA;CARAVELI;CHAPARRA;5176;2208;2968;0.46;373.88;160.23;534.11;2014
377;40309;SIERRA;AREQUIPA;CARAVELI;HUANUHUANU;3169;115;3054;0.45;18.85;8.08;26.93;2014
378;40310;SIERRA;AREQUIPA;CARAVELI;JAQUI;1313;1092;221;0.45;179.16;76.78;255.94;2014
379;40311;COSTA;AREQUIPA;CARAVELI;LOMAS;1316;1178;138;0.46;199.43;85.47;284.91;2014
380;40312;SIERRA;AREQUIPA;CARAVELI;QUICACHA;1890;313;1577;0.45;51.3;21.99;73.29;2014
381;40313;COSTA;AREQUIPA;CARAVELI;YAUCA;1607;1357;250;0.46;229.68;98.44;328.12;2014
382;40401;COSTA;AREQUIPA;CASTILLA;APLAO;8885;4866;4019;0.27;479.51;205.5;685.01;2014
383;40402;SIERRA;AREQUIPA;CASTILLA;ANDAGUA;1177;771;406;0.45;126.47;54.2;180.67;2014
384;40403;SIERRA;AREQUIPA;CASTILLA;AYO;395;287;108;0.45;47.14;20.2;67.35;2014
385;40404;SIERRA;AREQUIPA;CASTILLA;CHACHAS;1755;507;1248;0.45;83.22;35.67;118.89;2014
386;40405;SIERRA;AREQUIPA;CASTILLA;CHILCAYMARCA;1186;672;514;0.45;110.18;47.22;157.4;2014
387;40406;SIERRA;AREQUIPA;CASTILLA;CHOCO;1027;349;678;0.45;57.29;24.55;81.85;2014
388;40407;COSTA;AREQUIPA;CASTILLA;HUANCARQUI;1339;1104;235;0.46;186.84;80.07;266.91;2014
389;40408;SIERRA;AREQUIPA;CASTILLA;MACHAGUAY;749;304;445;0.45;49.89;21.38;71.27;2014
390;40409;SIERRA;AREQUIPA;CASTILLA;ORCOPAMPA;9521;7737;1784;0.36;1016.58;435.68;1452.26;2014
391;40410;SIERRA;AREQUIPA;CASTILLA;PAMPACOLCA;2782;1585;1197;0.45;259.98;111.42;371.4;2014
392;40411;SIERRA;AREQUIPA;CASTILLA;TIPAN;532;136;396;0.45;22.29;9.55;31.84;2014
393;40412;SIERRA;AREQUIPA;CASTILLA;UÑON;433;311;122;0.45;51.03;21.87;72.89;2014
394;40413;COSTA;AREQUIPA;CASTILLA;URACA;7245;2687;4558;0.46;454.95;194.98;649.92;2014
395;40414;SIERRA;AREQUIPA;CASTILLA;VIRACO;1756;1152;604;0.45;188.97;80.99;269.96;2014
396;40501;SIERRA;AREQUIPA;CAYLLOMA;CHIVAY;7548;7261;287;0.45;1190.81;510.35;1701.16;2014
397;40502;SIERRA;AREQUIPA;CAYLLOMA;ACHOMA;938;860;78;0.45;140.99;60.43;201.42;2014
398;40503;SIERRA;AREQUIPA;CAYLLOMA;CABANACONDE;2467;2351;116;0.45;385.49;165.21;550.7;2014
399;40504;SIERRA;AREQUIPA;CAYLLOMA;CALLALLI;2069;877;1192;0.45;143.77;61.62;205.39;2014
400;40505;SIERRA;AREQUIPA;CAYLLOMA;CAYLLOMA;3285;1727;1558;0.45;283.29;121.41;404.7;2014
401;40506;SIERRA;AREQUIPA;CAYLLOMA;COPORAQUE;1516;1294;222;0.45;212.2;90.94;303.15;2014
402;40507;SIERRA;AREQUIPA;CAYLLOMA;HUAMBO;647;383;264;0.45;62.83;26.93;89.76;2014
403;40508;SIERRA;AREQUIPA;CAYLLOMA;HUANCA;1500;757;743;0.45;124.13;53.2;177.33;2014
404;40509;SIERRA;AREQUIPA;CAYLLOMA;ICHUPAMPA;677;635;42;0.45;104.13;44.63;148.76;2014
405;40510;SIERRA;AREQUIPA;CAYLLOMA;LARI;1522;1388;134;0.45;227.6;97.54;325.14;2014
406;40511;SIERRA;AREQUIPA;CAYLLOMA;LLUTA;1297;520;777;0.45;85.26;36.54;121.8;2014
407;40512;SIERRA;AREQUIPA;CAYLLOMA;MACA;747;740;7;0.45;121.43;52.04;173.47;2014
408;40513;SIERRA;AREQUIPA;CAYLLOMA;MADRIGAL;522;511;11;0.45;83.78;35.91;119.69;2014
409;40514;SIERRA;AREQUIPA;CAYLLOMA;SAN ANTONIO DE CHUCA ;1535;495;1040;0.45;81.12;34.77;115.89;2014
410;40515;SIERRA;AREQUIPA;CAYLLOMA;SIBAYO;693;456;237;0.45;74.77;32.04;106.82;2014
411;40516;SIERRA;AREQUIPA;CAYLLOMA;TAPAY;562;101;461;0.45;16.62;7.12;23.74;2014
412;40517;SIERRA;AREQUIPA;CAYLLOMA;TISCO;1498;380;1118;0.45;62.33;26.71;89.04;2014
413;40518;SIERRA;AREQUIPA;CAYLLOMA;TUTI;775;652;123;0.45;106.91;45.82;152.73;2014
414;40519;SIERRA;AREQUIPA;CAYLLOMA;YANQUE;2165;1842;323;0.45;302.07;129.46;431.53;2014
415;40520;COSTA;AREQUIPA;CAYLLOMA;MAJES;59640;37461;22179;0.6;8203.91;3515.96;11719.87;2014
416;40601;COSTA;AREQUIPA;CONDESUYOS;CHUQUIBAMBA;3396;2624;772;0.46;444.29;190.41;634.71;2014
417;40602;SIERRA;AREQUIPA;CONDESUYOS;ANDARAY;680;332;348;0.45;54.44;23.33;77.77;2014
418;40603;SIERRA;AREQUIPA;CONDESUYOS;CAYARANI;3237;401;2836;0.45;65.76;28.18;93.95;2014
419;40604;SIERRA;AREQUIPA;CONDESUYOS;CHICHAS;694;154;540;0.45;25.31;10.85;36.15;2014
420;40605;COSTA;AREQUIPA;CONDESUYOS;IRAY;658;284;374;0.46;48.06;20.6;68.65;2014
421;40606;SIERRA;AREQUIPA;CONDESUYOS;RIO GRANDE;2845;2131;714;0.45;349.44;149.76;499.2;2014
422;40607;SIERRA;AREQUIPA;CONDESUYOS;SALAMANCA;904;466;438;0.45;76.5;32.79;109.29;2014
423;40608;SIERRA;AREQUIPA;CONDESUYOS;YANAQUIHUA;5727;643;5084;0.45;105.41;45.18;150.59;2014
424;40701;COSTA;AREQUIPA;ISLAY;MOLLENDO;22703;21532;1171;0.37;2907.94;1246.26;4154.2;2014
425;40702;COSTA;AREQUIPA;ISLAY;COCACHACRA;9072;7339;1733;0.56;1500.01;642.86;2142.87;2014
426;40703;COSTA;AREQUIPA;ISLAY;DEAN VALDIVIA;6608;5409;1199;0.49;967.47;414.63;1382.1;2014
427;40704;COSTA;AREQUIPA;ISLAY;ISLAY;6812;6812;0;0.46;1153.21;494.23;1647.44;2014
428;40705;COSTA;AREQUIPA;ISLAY;MEJIA;1054;636;418;0.58;134.63;57.7;192.33;2014
429;40706;COSTA;AREQUIPA;ISLAY;PUNTA DE BOMBON;6527;6287;240;0.46;1064.41;456.18;1520.58;2014
430;40801;SIERRA;AREQUIPA;LA UNIÓN;COTAHUASI;2962;1895;1067;0.45;310.68;133.15;443.83;2014
431;40802;SIERRA;AREQUIPA;LA UNIÓN;ALCA;2046;1468;578;0.45;240.7;103.16;343.86;2014
432;40803;SIERRA;AREQUIPA;LA UNIÓN;CHARCANA;569;323;246;0.45;52.93;22.68;75.61;2014
433;40804;SIERRA;AREQUIPA;LA UNIÓN;HUAYNACOTAS;2286;1017;1269;0.45;166.75;71.46;238.22;2014
434;40805;SIERRA;AREQUIPA;LA UNIÓN;PAMPAMARCA;1290;475;815;0.45;77.96;33.41;111.38;2014
435;40806;SIERRA;AREQUIPA;LA UNIÓN;PUYCA;2827;941;1886;0.45;154.37;66.16;220.53;2014
436;40807;SIERRA;AREQUIPA;LA UNIÓN;QUECHUALLA;243;52;191;0.45;8.46;3.62;12.08;2014
437;40808;SIERRA;AREQUIPA;LA UNIÓN;SAYLA;568;157;411;0.45;25.71;11.02;36.73;2014
438;40809;SIERRA;AREQUIPA;LA UNIÓN;TAURIA;326;173;153;0.45;28.37;12.16;40.52;2014
439;40810;SIERRA;AREQUIPA;LA UNIÓN;TOMEPAMPA;838;335;503;0.45;55;23.57;78.57;2014
440;40811;SIERRA;AREQUIPA;LA UNIÓN;TORO;834;302;532;0.45;49.54;21.23;70.77;2014
441;50101;SIERRA;AYACUCHO;HUAMANGA;AYACUCHO   ;91960;89185;2775;0.45;14642.19;6275.23;20917.42;2014
442;50102;SIERRA;AYACUCHO;HUAMANGA;ACOCRO;10497;1141;9356;0.45;187.1;80.19;267.28;2014
443;50103;SIERRA;AYACUCHO;HUAMANGA;ACOS VINCHOS;5839;713;5126;0.45;116.97;50.13;167.1;2014
444;50104;SIERRA;AYACUCHO;HUAMANGA;CARMEN ALTO ;20661;20038;623;0.5;3665.35;1570.87;5236.22;2014
445;50105;SIERRA;AYACUCHO;HUAMANGA;CHIARA;6840;1799;5041;0.27;177.29;75.98;253.27;2014
446;50106;SIERRA;AYACUCHO;HUAMANGA;OCROS   ;6315;1050;5265;0.45;172.15;73.78;245.93;2014
447;50107;SIERRA;AYACUCHO;HUAMANGA;PACAYCASA;3149;1426;1723;0.45;233.86;100.22;334.08;2014
448;50108;SIERRA;AYACUCHO;HUAMANGA;QUINUA;6203;2374;3829;0.45;389.26;166.83;556.09;2014
449;50109;SIERRA;AYACUCHO;HUAMANGA;SAN JOSE DE TICLLAS;2335;242;2093;0.45;39.73;17.03;56.75;2014
450;50110;SIERRA;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;48770;47791;979;0.65;11324.05;4853.16;16177.21;2014
451;50111;SIERRA;AYACUCHO;HUAMANGA;SANTIAGO DE PISCHA;1586;604;982;0.45;99.05;42.45;141.51;2014
452;50112;SIERRA;AYACUCHO;HUAMANGA;SOCOS;7431;1163;6268;0.45;190.74;81.74;272.48;2014
453;50113;SIERRA;AYACUCHO;HUAMANGA;TAMBILLO;5186;213;4973;0.45;35.01;15;50.01;2014
454;50114;SIERRA;AYACUCHO;HUAMANGA;VINCHOS;16518;704;15814;0.45;115.44;49.47;164.92;2014
455;50115;SIERRA;AYACUCHO;HUAMANGA;JESUS NAZARENO;17663;16469;1194;0.52;3125.83;1339.64;4465.47;2014
456;50116;SIERRA;AYACUCHO;HUAMANGA;ANDRÉS AVELINO CÁCERES DORREGARAY   ;21242;20825;417;0;0;0;0;2014
457;50201;SIERRA;AYACUCHO;CANGALLO;CANGALLO;6758;2383;4375;0.28;243.59;104.39;347.98;2014
458;50202;SIERRA;AYACUCHO;CANGALLO;CHUSCHI;8015;3589;4426;0.61;799.07;342.46;1141.52;2014
459;50203;SIERRA;AYACUCHO;CANGALLO;LOS MOROCHUCOS;8187;2886;5301;0.45;473.22;202.81;676.02;2014
460;50204;SIERRA;AYACUCHO;CANGALLO;MARIA PARADO DE BELLIDO;2609;403;2206;0.45;66.04;28.3;94.35;2014
461;50205;SIERRA;AYACUCHO;CANGALLO;PARAS;4636;980;3656;0.45;160.78;68.91;229.69;2014
462;50206;SIERRA;AYACUCHO;CANGALLO;TOTOS;3760;1649;2111;0.45;270.42;115.89;386.32;2014
463;50301;SIERRA;AYACUCHO;HUANCA SANCOS;SANCOS;3580;3071;509;0.36;403.55;172.95;576.5;2014
464;50302;SIERRA;AYACUCHO;HUANCA SANCOS;CARAPO;2519;1910;609;0.45;313.19;134.22;447.41;2014
465;50303;SIERRA;AYACUCHO;HUANCA SANCOS;SACSAMARCA;1642;893;749;0.45;146.4;62.74;209.14;2014
466;50304;SIERRA;AYACUCHO;HUANCA SANCOS;SANTIAGO DE LUCANAMARCA;2645;1164;1481;0.45;190.85;81.79;272.65;2014
467;50401;SIERRA;AYACUCHO;HUANTA;HUANTA    ;39429;31129;8300;0.56;6326.39;2711.31;9037.7;2014
468;50402;SIERRA;AYACUCHO;HUANTA;AYAHUANCO   ;13634;3878;9756;0.45;635.95;272.55;908.5;2014
469;50403;SIERRA;AYACUCHO;HUANTA;HUAMANGUILLA;5020;1370;3650;0.45;224.65;96.28;320.93;2014
470;50404;SIERRA;AYACUCHO;HUANTA;IGUAIN;3105;536;2569;0.45;87.98;37.71;125.69;2014
471;50405;SIERRA;AYACUCHO;HUANTA;LURICOCHA;5014;1356;3658;0.45;222.33;95.28;317.61;2014
472;50406;SIERRA;AYACUCHO;HUANTA;SANTILLANA;7183;949;6234;0.45;155.68;66.72;222.4;2014
473;50407;SIERRA;AYACUCHO;HUANTA;SIVIA   ;14173;4492;9681;0.45;736.59;315.68;1052.27;2014
474;50408;SIERRA;AYACUCHO;HUANTA;LLOCHEGUA   ;10862;4846;6016;0.45;794.65;340.56;1135.21;2014
475;50409;SIERRA;AYACUCHO;HUANTA;CANAYRE  ;2953;1826;1127;0;0;0;0;2014
476;50410;SIERRA;AYACUCHO;HUANTA;UCHURACCAY   ;5193;529;4664;0;0;0;0;2014
477;50501;SIERRA;AYACUCHO;LA MAR;SAN MIGUEL;9493;3599;5894;0.38;499.16;213.93;713.08;2014
478;50502;SIERRA;AYACUCHO;LA MAR;ANCO;11086;2929;8157;0.38;406.24;174.1;580.35;2014
479;50503;SIERRA;AYACUCHO;LA MAR;AYNA;10530;7270;3260;0.58;1538.97;659.56;2198.53;2014
480;50504;SIERRA;AYACUCHO;LA MAR;CHILCAS;3003;289;2714;0.45;47.42;20.32;67.74;2014
481;50505;SIERRA;AYACUCHO;LA MAR;CHUNGUI  ;7163;837;6326;0.45;137.24;58.82;196.06;2014
482;50506;SIERRA;AYACUCHO;LA MAR;LUIS CARRANZA;1088;112;976;0.45;18.41;7.89;26.3;2014
483;50507;SIERRA;AYACUCHO;LA MAR;SANTA ROSA;11294;6494;4800;0.4;948.13;406.34;1354.47;2014
484;50508;SIERRA;AYACUCHO;LA MAR;TAMBO;20194;10324;9870;0.52;1976.66;847.14;2823.8;2014
485;50509;SIERRA;AYACUCHO;LA MAR;SAMUGARI;7968;4088;3880;0.45;670.42;287.32;957.74;2014
486;50510;SIERRA;AYACUCHO;LA MAR;ANCHIHUAY  ;5611;0;5611;0;0;0;0;2014
487;50601;SIERRA;AYACUCHO;LUCANAS;PUQUIO;13852;12761;1091;0.52;2443.27;1047.12;3490.38;2014
488;50602;SIERRA;AYACUCHO;LUCANAS;AUCARA;5299;4142;1157;0.45;679.2;291.08;970.28;2014
489;50603;SIERRA;AYACUCHO;LUCANAS;CABANA;4316;3938;378;0.45;645.76;276.75;922.51;2014
490;50604;SIERRA;AYACUCHO;LUCANAS;CARMEN SALCEDO;3917;3388;529;0.45;555.57;238.1;793.67;2014
491;50605;SIERRA;AYACUCHO;LUCANAS;CHAVIÑA;2064;1373;691;0.45;225.22;96.52;321.74;2014
492;50606;SIERRA;AYACUCHO;LUCANAS;CHIPAO;3778;1903;1875;0.45;312.05;133.73;445.78;2014
493;50607;SIERRA;AYACUCHO;LUCANAS;HUAC-HUAS;2777;724;2053;0.45;118.74;50.89;169.62;2014
494;50608;SIERRA;AYACUCHO;LUCANAS;LARAMATE;1500;638;862;0.45;104.63;44.84;149.47;2014
495;50609;SIERRA;AYACUCHO;LUCANAS;LEONCIO PRADO;1404;298;1106;0.45;48.88;20.95;69.83;2014
496;50610;SIERRA;AYACUCHO;LUCANAS;LLAUTA;1175;371;804;0.45;60.81;26.06;86.88;2014
497;50611;SIERRA;AYACUCHO;LUCANAS;LUCANAS;4057;2133;1924;0.45;349.83;149.93;499.76;2014
498;50612;SIERRA;AYACUCHO;LUCANAS;OCAÑA;2986;962;2024;0.45;157.82;67.64;225.46;2014
499;50613;SIERRA;AYACUCHO;LUCANAS;OTOCA;3028;928;2100;0.45;152.12;65.19;217.31;2014
500;50614;SIERRA;AYACUCHO;LUCANAS;SAISA;903;519;384;0.45;85.13;36.48;121.61;2014
501;50615;SIERRA;AYACUCHO;LUCANAS;SAN CRISTOBAL;2088;1199;889;0.45;196.57;84.24;280.82;2014
502;50616;SIERRA;AYACUCHO;LUCANAS;SAN JUAN;1516;1352;164;0.45;221.79;95.05;316.85;2014
503;50617;SIERRA;AYACUCHO;LUCANAS;SAN PEDRO;3047;1449;1598;0.45;237.56;101.81;339.38;2014
504;50618;SIERRA;AYACUCHO;LUCANAS;SAN PEDRO DE PALCO;1398;182;1216;0.45;29.84;12.79;42.63;2014
505;50619;SIERRA;AYACUCHO;LUCANAS;SANCOS;7013;1203;5810;0.45;197.34;84.58;281.92;2014
506;50620;SIERRA;AYACUCHO;LUCANAS;SANTA ANA DE HUAYCAHUACHO;679;665;14;0.45;109.11;46.76;155.87;2014
