N_SEC;UBIGEO;REG_NAT;DEPARTAMENTO;PROVINCIA;DISTRITO;POB_TOTAL;POB_URBANA;POB_RURAL;GPC_DOM;QRESIDUOS_DOM;QRESIDUOS_NO_DOM;QRESIDUOS_MUN;PERIODO
14136;120101;SIERRA;JUNIN;HUANCAYO;HUANCAYO;125146;123279;1867;0.51;22948.39;9835.02;32783.41;2021
14137;120104;SIERRA;JUNIN;HUANCAYO;CARHUACALLANGA;449;449;0;0.44;72.11;30.9;103.01;2021
14138;120105;SIERRA;JUNIN;HUANCAYO;CHACAPAMPA;920;436;484;0.37;58.88;25.24;84.12;2021
14139;120106;SIERRA;JUNIN;HUANCAYO;CHICCHE;656;356;300;0.38;49.38;21.16;70.54;2021
14140;120107;SIERRA;JUNIN;HUANCAYO;CHILCA;101522;101449;73;0.47;17403.58;7458.68;24862.25;2021
14141;120108;SIERRA;JUNIN;HUANCAYO;CHONGOS ALTO;1503;813;690;0.44;130.57;55.96;186.53;2021
14142;120111;SIERRA;JUNIN;HUANCAYO;CHUPURO;2083;751;1332;0.44;120.61;51.69;172.3;2021
14143;120112;SIERRA;JUNIN;HUANCAYO;COLCA;1014;589;425;0.22;47.3;20.27;67.57;2021
14144;120113;SIERRA;JUNIN;HUANCAYO;CULLHUAS;1269;605;664;0.44;97.16;41.64;138.8;2021
14145;120114;SIERRA;JUNIN;HUANCAYO;EL TAMBO;177221;167882;9339;0.8;49021.54;21009.23;70030.78;2021
14146;120116;SIERRA;JUNIN;HUANCAYO;HUACRAPUQUIO;1403;1320;83;0.2;96.36;41.3;137.66;2021
14147;120117;SIERRA;JUNIN;HUANCAYO;HUALHUAS;6056;6056;0;0.24;530.51;227.36;757.87;2021
14148;120119;SIERRA;JUNIN;HUANCAYO;HUANCAN;30981;29188;1793;0.4;4261.45;1826.33;6087.78;2021
14149;120120;SIERRA;JUNIN;HUANCAYO;HUASICANCHA;825;594;231;0.43;93.23;39.95;133.18;2021
14150;120121;SIERRA;JUNIN;HUANCAYO;HUAYUCACHI;11007;10914;93;0.33;1314.59;563.4;1877.99;2021
14151;120122;SIERRA;JUNIN;HUANCAYO;INGENIO;2417;2110;307;0.29;222.96;95.56;318.52;2021
14152;120124;SIERRA;JUNIN;HUANCAYO;PARIAHUANCA   ;5056;118;4938;0.44;18.95;8.12;27.07;2021
14153;120125;SIERRA;JUNIN;HUANCAYO;PILCOMAYO;24862;24862;0;0.29;2631.64;1127.85;3759.49;2021
14154;120126;SIERRA;JUNIN;HUANCAYO;PUCARA;4777;2539;2238;0.2;185.35;79.43;264.78;2021
14155;120127;SIERRA;JUNIN;HUANCAYO;QUICHUAY;1916;1075;841;0.44;172.65;73.99;246.64;2021
14156;120128;SIERRA;JUNIN;HUANCAYO;QUILCAS;4089;2955;1134;0.36;388.29;166.41;554.7;2021
14157;120129;SIERRA;JUNIN;HUANCAYO;SAN AGUSTIN;19381;17926;1455;0.44;2878.92;1233.82;4112.74;2021
14158;120130;SIERRA;JUNIN;HUANCAYO;SAN JERONIMO DE TUNAN;13206;13206;0;0.46;2217.29;950.27;3167.55;2021
14159;120132;SIERRA;JUNIN;HUANCAYO;SAÑO;6526;6495;31;0.23;545.26;233.68;778.94;2021
14160;120133;SIERRA;JUNIN;HUANCAYO;SAPALLANGA;26179;23350;2829;0.42;3579.56;1534.1;5113.65;2021
14161;120134;SIERRA;JUNIN;HUANCAYO;SICAYA;23457;22748;709;0.2;1660.6;711.69;2372.29;2021
14162;120135;SIERRA;JUNIN;HUANCAYO;SANTO DOMINGO DE ACOBAMBA;6252;309;5943;0.44;49.63;21.27;70.89;2021
14163;120136;SIERRA;JUNIN;HUANCAYO;VIQUES;2990;2920;70;0.48;511.58;219.25;730.83;2021
14164;120201;SIERRA;JUNIN;CONCEPCION;CONCEPCION;16973;15137;1836;0.36;1989;852.43;2841.43;2021
14165;120202;SIERRA;JUNIN;CONCEPCION;ACO;1615;1402;213;0.34;173.99;74.57;248.55;2021
14166;120203;SIERRA;JUNIN;CONCEPCION;ANDAMARCA;3224;323;2901;0.44;51.87;22.23;74.11;2021
14167;120204;SIERRA;JUNIN;CONCEPCION;CHAMBARA;2643;729;1914;0.44;117.08;50.18;167.25;2021
14168;120205;SIERRA;JUNIN;CONCEPCION;COCHAS;1946;326;1620;0.34;40.46;17.34;57.8;2021
14169;120206;SIERRA;JUNIN;CONCEPCION;COMAS;5187;782;4405;0.44;125.59;53.82;179.41;2021
14170;120207;SIERRA;JUNIN;CONCEPCION;HEROINAS TOLEDO;916;104;812;0.44;16.7;7.16;23.86;2021
14171;120208;SIERRA;JUNIN;CONCEPCION;MANZANARES;1526;1405;121;0.27;138.46;59.34;197.8;2021
14172;120209;SIERRA;JUNIN;CONCEPCION;MARISCAL CASTILLA;1457;322;1135;0.44;51.71;22.16;73.88;2021
14173;120210;SIERRA;JUNIN;CONCEPCION;MATAHUASI;6396;4556;1840;0.57;947.88;406.23;1354.11;2021
14174;120211;SIERRA;JUNIN;CONCEPCION;MITO;1452;915;537;0.29;96.85;41.51;138.36;2021
14175;120212;SIERRA;JUNIN;CONCEPCION;NUEVE DE JULIO;2619;2242;377;0.27;220.95;94.69;315.64;2021
14176;120213;SIERRA;JUNIN;CONCEPCION;ORCOTUNA;5319;4520;799;0.38;626.92;268.68;895.61;2021
14177;120214;SIERRA;JUNIN;CONCEPCION;SAN JOSE DE QUERO;5627;2214;3413;0.45;363.65;155.85;519.5;2021
14178;120215;SIERRA;JUNIN;CONCEPCION;SANTA ROSA DE OCOPA;2082;1866;216;0.27;183.67;78.72;262.39;2021
14179;120301;SELVA;JUNIN;CHANCHAMAYO;CHANCHAMAYO;29354;25838;3516;0.55;5186.98;2222.99;7409.97;2021
