PERIODO,UBIGEO,REG_NAT,DEPARTAMENTO,PROVINCIA,DISTRITO,POB_TOTAL,POB_URBANA,POB_RURAL,GPC_DOM,QRESIDUOS_DOM,QRESIDUOS_NO_DOM,QRESIDUOS_MUN,MTN_QRESIDUOS_MUN,GRS_MTN_AMERICAYCARIBE,GRS_MTN_AMERICADEL NORTE,GRS_MTN_EUROPAYASIACENTRAL,G_ROV
2016,190308,SELVA,PASCO,OXAPAMPA,CONSTITUCION,11835,2711,9124,0.53,522.46,223.91,746.4,7,231,289,392,
2017,190308,SELVA,PASCO,OXAPAMPA,CONSTITUCION,12033,2756,9277,0.74,744.4,319.03,1063.4,7.1,231,289,392,
2018,190308,SELVA,PASCO,OXAPAMPA,CONSTITUCION,15912,8710,7202,0.74,2352.51,1008.22,3360.7,7.5,231,289,392,
2019,190308,SELVA,PASCO,OXAPAMPA,CONSTITUCION,16374,9006,7368,0.74,2432.52,1042.51,3475,7.8,231,289,392,
2020,190308,SELVA,PASCO,OXAPAMPA,CONSTITUCION,17089,9402,7687,0.74,2539.48,1088.35,3627.8,7.9,231,289,392,
2021,190308,SELVA,PASCO,OXAPAMPA,CONSTITUCION,17577,9656,7921,0.74,2608.09,1117.75,3725.8,8.2,231,289,392,
2014,210902,SIERRA,PUNO,MOHO,CONIMA,2999,685,2314,0.45,112.29,48.12,160.4,6.9,231,289,392,
2015,210902,SIERRA,PUNO,MOHO,CONIMA,2909,664,2245,0.43,103.76,44.47,148.2,7,231,289,392,
2016,210902,SIERRA,PUNO,MOHO,CONIMA,2971,679,2292,0.43,106.07,45.46,151.5,7,231,289,392,
2017,210902,SIERRA,PUNO,MOHO,CONIMA,3034,693,2341,0.43,108.26,46.4,154.7,7.1,231,289,392,
2018,210902,SIERRA,PUNO,MOHO,CONIMA,3254,911,2343,0.42,139.68,59.86,199.5,7.5,231,289,392,
2019,210902,SIERRA,PUNO,MOHO,CONIMA,3289,892,2397,0.42,136.86,58.65,195.5,7.8,231,289,392,
2020,210902,SIERRA,PUNO,MOHO,CONIMA,3263,863,2400,0.42,132.42,56.75,189.2,7.9,231,289,392,
2021,210902,SIERRA,PUNO,MOHO,CONIMA,3252,844,2408,0.44,135.55,58.09,193.6,8.2,231,289,392,
2014,10505,SELVA,AMAZONAS,LUYA,CONILA,2102,1233,869,0.61,274.09,117.47,391.6,6.9,231,289,392,6904950
2015,10505,SELVA,AMAZONAS,LUYA,CONILA,2083,1222,861,0.58,257.88,110.52,368.4,7,231,289,392,
2016,10505,SELVA,AMAZONAS,LUYA,CONILA,2080,1221,859,0.58,257.59,110.4,368,7,231,289,392,
2017,10505,SELVA,AMAZONAS,LUYA,CONILA,2079,1220,859,0.58,257.38,110.31,367.7,7.1,231,289,392,
2018,10505,SELVA,AMAZONAS,LUYA,CONILA,1932,1107,825,0.55,221.08,94.75,315.8,7.5,231,289,392,
2019,10505,SELVA,AMAZONAS,LUYA,CONILA,1939,1102,837,0.54,217.75,93.32,311.1,7.8,231,289,392,
2020,10505,SELVA,AMAZONAS,LUYA,CONILA,1923,1084,839,0.25,98.92,42.39,141.3,7.9,231,289,392,
2021,10505,SELVA,AMAZONAS,LUYA,CONILA,1899,1062,837,0.25,96.91,41.53,138.4,8.2,231,289,392,
2014,21406,SIERRA,ANCASH,OCROS,CONGAS,1230,849,381,0.45,139.29,59.69,199,6.9,231,289,392,
2015,21406,SIERRA,ANCASH,OCROS,CONGAS,1220,842,378,0.43,131.61,56.4,188,7,231,289,392,
2016,21406,SIERRA,ANCASH,OCROS,CONGAS,1219,842,377,0.43,131.54,56.37,187.9,7,231,289,392,
2017,21406,SIERRA,ANCASH,OCROS,CONGAS,1217,841,376,0.43,131.38,56.31,187.7,7.1,231,289,392,
2018,21406,SIERRA,ANCASH,OCROS,CONGAS,1298,948,350,0.42,145.36,62.3,207.7,7.5,231,289,392,
2019,21406,SIERRA,ANCASH,OCROS,CONGAS,1313,951,362,0.84,291.58,124.96,416.5,7.8,231,289,392,
2020,21406,SIERRA,ANCASH,OCROS,CONGAS,1313,944,369,0.84,289.43,124.04,413.5,7.9,231,289,392,
2021,21406,SIERRA,ANCASH,OCROS,CONGAS,1302,930,372,0.46,156.15,66.92,223.1,8.2,231,289,392,
2015,90306,SIERRA,HUANCAVELICA,ANGARAES,CONGALLA,4109,848,3261,0.43,132.45,56.77,189.2,7,231,289,392,
2016,90306,SIERRA,HUANCAVELICA,ANGARAES,CONGALLA,4123,851,3272,0.43,132.94,56.98,189.9,7,231,289,392,
2017,90306,SIERRA,HUANCAVELICA,ANGARAES,CONGALLA,4137,854,3283,0.43,133.41,57.18,190.6,7.1,231,289,392,
2018,90306,SIERRA,HUANCAVELICA,ANGARAES,CONGALLA,3691,1150,2540,0.42,176.37,75.59,252,7.5,231,289,392,
2019,90306,SIERRA,HUANCAVELICA,ANGARAES,CONGALLA,3831,1187,2644,0.44,189.63,81.27,270.9,7.8,231,289,392,
2020,90306,SIERRA,HUANCAVELICA,ANGARAES,CONGALLA,3786,1163,2623,0.44,185.42,79.47,264.9,7.9,231,289,392,
2021,90306,SIERRA,HUANCAVELICA,ANGARAES,CONGALLA,3677,1118,2559,0.44,179.55,76.95,256.5,8.2,231,289,392,
2014,210505,SIERRA,PUNO,EL COLLAO,CONDURIRI,4398,494,3904,0.45,80.94,34.69,115.6,6.9,231,289,392,
2015,210505,SIERRA,PUNO,EL COLLAO,CONDURIRI,4387,492,3895,0.43,76.91,32.96,109.9,7,231,289,392,
2016,210505,SIERRA,PUNO,EL COLLAO,CONDURIRI,4418,496,3922,0.43,77.49,33.21,110.7,7,231,289,392,
