PERIODO,UBIGEO,REG_NAT,DEPARTAMENTO,PROVINCIA,DISTRITO,POB_TOTAL,POB_URBANA,POB_RURAL,GPC_DOM,QRESIDUOS_DOM,QRESIDUOS_NO_DOM,QRESIDUOS_MUN,MTN_QRESIDUOS_MUN,GRS_MTN_AMERICAYCARIBE,GRS_MTN_AMERICADEL NORTE,GRS_MTN_EUROPAYASIACENTRAL,G_ROV
2018,90117,SIERRA,HUANCAVELICA,HUANCAVELICA,YAULI,20127,5720,14407,0.41,845.55,362.38,1207.9,7.5,231,289,392,
2018,120433,SIERRA,JUNIN,JAUJA,YAULI,1106,931,175,0.47,160.35,68.72,229.1,7.5,231,289,392,
2018,120810,SIERRA,JUNIN,YAULI,YAULI,5436,4435,1001,0.3,488.84,209.5,698.4,7.5,231,289,392,
2019,90117,SIERRA,HUANCAVELICA,HUANCAVELICA,YAULI,20557,5332,15225,0.47,914.7,392.02,1306.7,7.8,231,289,392,
2019,120433,SIERRA,JUNIN,JAUJA,YAULI,1095,915,180,0.44,145.63,62.41,208.1,7.8,231,289,392,
2019,120810,SIERRA,JUNIN,YAULI,YAULI,5512,4486,1026,0.3,494.49,211.93,706.4,7.8,231,289,392,
2020,90117,SIERRA,HUANCAVELICA,HUANCAVELICA,YAULI,19892,4826,15066,0.47,827.9,354.81,1182.7,7.9,231,289,392,
2020,120433,SIERRA,JUNIN,JAUJA,YAULI,1055,876,179,0.44,139.42,59.75,199.2,7.9,231,289,392,
2020,120810,SIERRA,JUNIN,YAULI,YAULI,5471,4436,1035,0.45,728.61,312.26,1040.9,7.9,231,289,392,
2021,90117,SIERRA,HUANCAVELICA,HUANCAVELICA,YAULI,19291,4397,14894,0.55,882.7,378.3,1261,8.2,231,289,392,
2021,120433,SIERRA,JUNIN,JAUJA,YAULI,1015,836,179,0.46,140.36,60.16,200.5,8.2,231,289,392,
2021,120810,SIERRA,JUNIN,YAULI,YAULI,5418,4375,1043,0.45,718.59,307.97,1026.6,8.2,231,289,392,
2015,110114,SIERRA,ICA,ICA,YAUCA DEL ROSARIO,986,106,880,0.43,16.55,7.09,23.6,7,231,289,392,
2016,110114,SIERRA,ICA,ICA,YAUCA DEL ROSARIO,974,105,869,0.43,16.4,7.03,23.4,7,231,289,392,
2017,110114,SIERRA,ICA,ICA,YAUCA DEL ROSARIO,963,104,859,0.43,16.25,6.96,23.2,7.1,231,289,392,
2018,110114,SIERRA,ICA,ICA,YAUCA DEL ROSARIO,1208,100,1108,0.42,15.31,6.56,21.9,7.5,231,289,392,
2019,110114,SIERRA,ICA,ICA,YAUCA DEL ROSARIO,1247,102,1145,0.44,16.29,6.98,23.3,7.8,231,289,392,
2020,110114,SIERRA,ICA,ICA,YAUCA DEL ROSARIO,1260,102,1158,0.44,16.26,6.97,23.2,7.9,231,289,392,
2021,110114,SIERRA,ICA,ICA,YAUCA DEL ROSARIO,1278,102,1176,0.44,16.38,7.02,23.4,8.2,231,289,392,
2014,40313,COSTA,AREQUIPA,CARAVELI,YAUCA,1607,1357,250,0.46,229.68,98.44,328.1,6.9,231,289,392,
2015,40313,COSTA,AREQUIPA,CARAVELI,YAUCA,1582,1336,246,0.27,131.63,56.41,188,7,231,289,392,
2016,40313,COSTA,AREQUIPA,CARAVELI,YAUCA,1556,1314,242,0.27,129.49,55.5,185,7,231,289,392,
2017,40313,COSTA,AREQUIPA,CARAVELI,YAUCA,1538,1299,239,0.27,128.02,54.86,182.9,7.1,231,289,392,
2018,40313,COSTA,AREQUIPA,CARAVELI,YAUCA,2063,1738,326,0.46,291.75,125.04,416.8,7.5,231,289,392,
2019,40313,COSTA,AREQUIPA,CARAVELI,YAUCA,2006,1664,342,0.33,200.43,85.9,286.3,7.8,231,289,392,
2020,40313,COSTA,AREQUIPA,CARAVELI,YAUCA,2029,1665,364,0.33,200.55,85.95,286.5,7.9,231,289,392,
2021,40313,COSTA,AREQUIPA,CARAVELI,YAUCA,2060,1677,383,0.33,201.99,86.57,288.6,8.2,231,289,392,
2015,100110,SIERRA,HUANUCO,HUANUCO,YARUMAYO,3084,815,2269,0.43,127.31,54.56,181.9,7,231,289,392,
2016,100110,SIERRA,HUANUCO,HUANUCO,YARUMAYO,3093,818,2275,0.43,127.79,54.77,182.6,7,231,289,392,
2017,100110,SIERRA,HUANUCO,HUANUCO,YARUMAYO,3121,825,2296,0.43,128.88,55.23,184.1,7.1,231,289,392,
2018,100110,SIERRA,HUANUCO,HUANUCO,YARUMAYO,1515,316,1199,0.42,48.4,20.74,69.1,7.5,231,289,392,
2019,100110,SIERRA,HUANUCO,HUANUCO,YARUMAYO,1588,292,1296,0.42,44.8,19.2,64,7.8,231,289,392,
2020,100110,SIERRA,HUANUCO,HUANUCO,YARUMAYO,1584,263,1321,0.42,40.36,17.3,57.7,7.9,231,289,392,
2021,100110,SIERRA,HUANUCO,HUANUCO,YARUMAYO,1578,238,1340,0.44,38.22,16.38,54.6,8.2,231,289,392,
2014,250105,SELVA,UCAYALI,CORONEL PORTILLO,YARINACOCHA,96577,87759,8818,0.74,23703.77,10158.76,33862.5,6.9,231,289,392,
2015,250105,SELVA,UCAYALI,CORONEL PORTILLO,YARINACOCHA,97678,88760,8918,0.74,23973.99,10274.57,34248.6,7,231,289,392,
2016,250105,SELVA,UCAYALI,CORONEL PORTILLO,YARINACOCHA,98799,89779,9020,0.73,23921.61,10252.12,34173.7,7,231,289,392,
2017,250105,SELVA,UCAYALI,CORONEL PORTILLO,YARINACOCHA,99896,90776,9120,0.73,24187.27,10365.97,34553.2,7.1,231,289,392,
2018,250105,SELVA,UCAYALI,CORONEL PORTILLO,YARINACOCHA,112612,107073,5539,0.55,21494.95,9212.12,30707.1,7.5,231,289,392,
2019,250105,SELVA,UCAYALI,CORONEL PORTILLO,YARINACOCHA,115625,109712,5913,0.62,24827.83,10640.5,35468.3,7.8,231,289,392,
2020,250105,SELVA,UCAYALI,CORONEL PORTILLO,YARINACOCHA,118666,112428,6238,0.62,25442.46,10903.91,36346.4,7.9,231,289,392,
2021,250105,SELVA,UCAYALI,CORONEL PORTILLO,YARINACOCHA,121443,114955,6488,0.55,23077.22,9890.24,32967.5,8.2,231,289,392,
2014,40127,SIERRA,AREQUIPA,AREQUIPA,YARABAMBA,1121,720,401,0.45,118.14,50.63,168.8,6.9,231,289,392,
2015,40127,SIERRA,AREQUIPA,AREQUIPA,YARABAMBA,1125,723,402,0.43,112.94,48.4,161.4,7,231,289,392,
2016,40127,SIERRA,AREQUIPA,AREQUIPA,YARABAMBA,1126,724,402,0.43,113.1,48.47,161.6,7,231,289,392,
2017,40127,SIERRA,AREQUIPA,AREQUIPA,YARABAMBA,1128,725,403,0.43,113.26,48.54,161.8,7.1,231,289,392,
2018,40127,SIERRA,AREQUIPA,AREQUIPA,YARABAMBA,1507,1468,39,0.42,224.99,96.42,321.4,7.5,231,289,392,
2019,40127,SIERRA,AREQUIPA,AREQUIPA,YARABAMBA,1482,1442,40,0.42,221.24,94.82,316.1,7.8,231,289,392,
2020,40127,SIERRA,AREQUIPA,AREQUIPA,YARABAMBA,1528,1485,43,0.42,227.87,97.66,325.5,7.9,231,289,392,
2021,40127,SIERRA,AREQUIPA,AREQUIPA,YARABAMBA,1584,1539,45,0.44,247.16,105.93,353.1,8.2,231,289,392,
2014,160511,SELVA,LORETO,REQUENA,YAQUERANA,2933,823,2110,0.61,182.79,78.34,261.1,6.9,231,289,392,
2015,160511,SELVA,LORETO,REQUENA,YAQUERANA,2989,838,2151,0.58,176.86,75.8,252.7,7,231,289,392,
2016,160511,SELVA,LORETO,REQUENA,YAQUERANA,3026,849,2177,0.58,179.11,76.76,255.9,7,231,289,392,
2017,160511,SELVA,LORETO,REQUENA,YAQUERANA,3063,860,2203,0.58,181.43,77.76,259.2,7.1,231,289,392,
2018,160511,SELVA,LORETO,REQUENA,YAQUERANA,2237,832,1405,0.55,166.11,71.19,237.3,7.5,231,289,392,
2019,160511,SELVA,LORETO,REQUENA,YAQUERANA,2274,834,1440,0.54,164.79,70.63,235.4,7.8,231,289,392,
2020,160511,SELVA,LORETO,REQUENA,YAQUERANA,2263,819,1444,0.53,159.75,68.46,228.2,7.9,231,289,392,
2021,160511,SELVA,LORETO,REQUENA,YAQUERANA,2248,802,1446,0.51,150.51,64.5,215,8.2,231,289,392,
2014,220106,SELVA,SAN MARTIN,MOYOBAMBA,YANTALO,3310,1891,1419,0.61,420.29,180.13,600.4,6.9,231,289,392,
2015,220106,SELVA,SAN MARTIN,MOYOBAMBA,YANTALO,3375,1929,1446,0.58,406.87,174.37,581.2,7,231,289,392,
2016,220106,SELVA,SAN MARTIN,MOYOBAMBA,YANTALO,3434,1963,1471,0.58,414.13,177.49,591.6,7,231,289,392,
2017,220106,SELVA,SAN MARTIN,MOYOBAMBA,YANTALO,3492,1996,1496,0.58,421.1,180.47,601.6,7.1,231,289,392,
2018,220106,SELVA,SAN MARTIN,MOYOBAMBA,YANTALO,2895,2253,642,0.55,449.81,192.78,642.6,7.5,231,289,392,
2019,220106,SELVA,SAN MARTIN,MOYOBAMBA,YANTALO,2905,2249,656,0.44,361.19,154.8,516,7.8,231,289,392,
2020,220106,SELVA,SAN MARTIN,MOYOBAMBA,YANTALO,2916,2247,669,0.44,360.87,154.66,515.5,7.9,231,289,392,
2021,220106,SELVA,SAN MARTIN,MOYOBAMBA,YANTALO,2931,2249,682,0.44,361.19,154.8,516,8.2,231,289,392,
2014,40519,SIERRA,AREQUIPA,CAYLLOMA,YANQUE,2165,1842,323,0.45,302.07,129.46,431.5,6.9,231,289,392,
2015,40519,SIERRA,AREQUIPA,CAYLLOMA,YANQUE,2137,1818,319,0.43,284.03,121.73,405.8,7,231,289,392,
2016,40519,SIERRA,AREQUIPA,CAYLLOMA,YANQUE,2112,1797,315,0.43,280.73,120.31,401,7,231,289,392,
2017,40519,SIERRA,AREQUIPA,CAYLLOMA,YANQUE,2090,1779,311,0.43,277.92,119.11,397,7.1,231,289,392,
2018,40519,SIERRA,AREQUIPA,CAYLLOMA,YANQUE,2261,1886,375,0.42,289.16,123.93,413.1,7.5,231,289,392,
2019,40519,SIERRA,AREQUIPA,CAYLLOMA,YANQUE,2173,1799,374,0.42,276.02,118.29,394.3,7.8,231,289,392,
2020,40519,SIERRA,AREQUIPA,CAYLLOMA,YANQUE,2158,1777,381,0.42,272.67,116.86,389.5,7.9,231,289,392,
2021,40519,SIERRA,AREQUIPA,CAYLLOMA,YANQUE,2150,1762,388,0.44,282.98,121.28,404.3,8.2,231,289,392,
2015,80408,SELVA,CUSCO,CALCA,YANATILE,13337,3131,10206,0.6,685.76,293.9,979.7,7,231,289,392,
2016,80408,SELVA,CUSCO,CALCA,YANATILE,13429,3153,10276,0.59,679,291,970,7,231,289,392,
2017,80408,SELVA,CUSCO,CALCA,YANATILE,13516,3174,10342,0.59,683.52,292.94,976.5,7.1,231,289,392,
2018,80408,SELVA,CUSCO,CALCA,YANATILE,9634,2646,6988,0.59,569.82,244.21,814,7.5,231,289,392,
2019,80408,SELVA,CUSCO,CALCA,YANATILE,9591,2544,7047,0.59,547.85,234.79,782.6,7.8,231,289,392,
2020,80408,SELVA,CUSCO,CALCA,YANATILE,9473,2444,7029,0.59,526.32,225.56,751.9,7.9,231,289,392,
2021,80408,SELVA,CUSCO,CALCA,YANATILE,9385,2367,7018,0.59,509.73,218.46,728.2,8.2,231,289,392,
2015,100323,SIERRA,HUANUCO,DOS DE MAYO,YANAS,3367,963,2404,0.43,150.38,64.45,214.8,7,231,289,392,
2016,100323,SIERRA,HUANUCO,DOS DE MAYO,YANAS,3342,956,2386,0.43,149.35,64.01,213.4,7,231,289,392,
2017,100323,SIERRA,HUANUCO,DOS DE MAYO,YANAS,3320,950,2370,0.43,148.41,63.6,212,7.1,231,289,392,
2018,100323,SIERRA,HUANUCO,DOS DE MAYO,YANAS,2314,862,1452,0.42,132.11,56.62,188.7,7.5,231,289,392,
2019,100323,SIERRA,HUANUCO,DOS DE MAYO,YANAS,2267,814,1453,0.44,130.04,55.73,185.8,7.8,231,289,392,
2020,100323,SIERRA,HUANUCO,DOS DE MAYO,YANAS,2196,766,1430,0.44,122.12,52.34,174.5,7.9,231,289,392,
2021,100323,SIERRA,HUANUCO,DOS DE MAYO,YANAS,2118,719,1399,0.44,115.47,49.49,165,8.2,231,289,392,
2014,40608,SIERRA,AREQUIPA,CONDESUYOS,YANAQUIHUA,5727,643,5084,0.45,105.41,45.18,150.6,6.9,231,289,392,
2015,40608,SIERRA,AREQUIPA,CONDESUYOS,YANAQUIHUA,5820,653,5167,0.43,102.05,43.73,145.8,7,231,289,392,
2016,40608,SIERRA,AREQUIPA,CONDESUYOS,YANAQUIHUA,5905,663,5242,0.43,103.57,44.39,148,7,231,289,392,
2017,40608,SIERRA,AREQUIPA,CONDESUYOS,YANAQUIHUA,5996,673,5323,0.43,105.14,45.06,150.2,7.1,231,289,392,
2018,40608,SIERRA,AREQUIPA,CONDESUYOS,YANAQUIHUA,4219,602,3617,0.42,92.23,39.53,131.8,7.5,231,289,392,
2019,40608,SIERRA,AREQUIPA,CONDESUYOS,YANAQUIHUA,4034,548,3486,0.44,87.54,37.52,125.1,7.8,231,289,392,
2020,40608,SIERRA,AREQUIPA,CONDESUYOS,YANAQUIHUA,3963,518,3445,0.44,82.59,35.39,118,7.9,231,289,392,
2021,40608,SIERRA,AREQUIPA,CONDESUYOS,YANAQUIHUA,3900,492,3408,0.44,79.02,33.86,112.9,8.2,231,289,392,
2015,80501,SIERRA,CUSCO,CANAS,YANAOCA,9976,2373,7603,0.52,450.48,193.06,643.5,7,231,289,392,
2016,80501,SIERRA,CUSCO,CANAS,YANAOCA,10049,2391,7658,0.54,471.27,201.97,673.2,7,231,289,392,
2017,80501,SIERRA,CUSCO,CANAS,YANAOCA,10124,2409,7715,0.55,483.61,207.26,690.9,7.1,231,289,392,
2018,80501,SIERRA,CUSCO,CANAS,YANAOCA,9299,4071,5228,0.31,463.65,198.71,662.4,7.5,231,289,392,
2019,80501,SIERRA,CUSCO,CANAS,YANAOCA,9302,3965,5337,0.46,665.72,285.31,951,7.8,231,289,392,
2020,80501,SIERRA,CUSCO,CANAS,YANAOCA,9270,3866,5404,0.46,649.1,278.19,927.3,7.9,231,289,392,
2021,80501,SIERRA,CUSCO,CANAS,YANAOCA,9256,3790,5466,0.2,276.67,118.57,395.2,8.2,231,289,392,
2014,22008,SIERRA,ANCASH,YUNGAY,YANAMA,7003,558,6445,0.45,91.49,39.21,130.7,6.9,231,289,392,
2015,22008,SIERRA,ANCASH,YUNGAY,YANAMA,6969,555,6414,0.43,86.73,37.17,123.9,7,231,289,392,
2016,22008,SIERRA,ANCASH,YUNGAY,YANAMA,6960,555,6405,0.43,86.7,37.16,123.9,7,231,289,392,
2017,22008,SIERRA,ANCASH,YUNGAY,YANAMA,6952,554,6398,0.43,86.55,37.09,123.6,7.1,231,289,392,
2018,22008,SIERRA,ANCASH,YUNGAY,YANAMA,5461,453,5007,0.42,69.52,29.79,99.3,7.5,231,289,392,
2019,22008,SIERRA,ANCASH,YUNGAY,YANAMA,5476,435,5041,0.44,69.49,29.78,99.3,7.8,231,289,392,
2020,22008,SIERRA,ANCASH,YUNGAY,YANAMA,5361,412,4949,0.44,65.69,28.15,93.8,7.9,231,289,392,
2021,22008,SIERRA,ANCASH,YUNGAY,YANAMA,5244,390,4854,0.44,62.63,26.84,89.5,8.2,231,289,392,
2014,211208,SELVA,PUNO,SANDIA,YANAHUAYA,2296,1226,1070,0.61,272.43,116.76,389.2,6.9,231,289,392,
2015,211208,SELVA,PUNO,SANDIA,YANAHUAYA,2269,1212,1057,0.58,255.61,109.55,365.2,7,231,289,392,
2016,211208,SELVA,PUNO,SANDIA,YANAHUAYA,2245,1199,1046,0.58,252.95,108.41,361.4,7,231,289,392,
2017,211208,SELVA,PUNO,SANDIA,YANAHUAYA,2222,1187,1035,0.58,250.42,107.32,357.7,7.1,231,289,392,
2018,211208,SELVA,PUNO,SANDIA,YANAHUAYA,2146,1039,1107,0.55,207.35,88.87,296.2,7.5,231,289,392,
2019,211208,SELVA,PUNO,SANDIA,YANAHUAYA,2155,1024,1131,0.54,202.34,86.72,289.1,7.8,231,289,392,
2020,211208,SELVA,PUNO,SANDIA,YANAHUAYA,2127,995,1132,0.53,194.08,83.18,277.3,7.9,231,289,392,
2021,211208,SELVA,PUNO,SANDIA,YANAHUAYA,2089,965,1124,0.51,181.1,77.61,258.7,8.2,231,289,392,
2014,40126,SIERRA,AREQUIPA,AREQUIPA,YANAHUARA,25242,25242,0,0.54,5008.34,2146.43,7154.8,6.9,231,289,392,
2015,40126,SIERRA,AREQUIPA,AREQUIPA,YANAHUARA,25483,25483,0,0.58,5394.75,2312.04,7706.8,7,231,289,392,
2016,40126,SIERRA,AREQUIPA,AREQUIPA,YANAHUARA,25717,25717,0,0.56,5228.39,2240.74,7469.1,7,231,289,392,
2017,40126,SIERRA,AREQUIPA,AREQUIPA,YANAHUARA,25951,25951,0,0.57,5370.69,2301.72,7672.4,7.1,231,289,392,
2018,40126,SIERRA,AREQUIPA,AREQUIPA,YANAHUARA,26847,26847,0,0.56,5487.43,2351.76,7839.2,7.5,231,289,392,
2019,40126,SIERRA,AREQUIPA,AREQUIPA,YANAHUARA,26099,26099,0,0.62,5906.2,2531.23,8437.4,7.8,231,289,392,
2020,40126,SIERRA,AREQUIPA,AREQUIPA,YANAHUARA,26354,26354,0,0.62,5963.91,2555.96,8519.9,7.9,231,289,392,
2021,40126,SIERRA,AREQUIPA,AREQUIPA,YANAHUARA,26755,26755,0,0.66,6445.28,2762.26,9207.5,8.2,231,289,392,
2014,190201,SIERRA,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,13159,7765,5394,0.29,821.97,352.27,1174.3,6.9,231,289,392,
2015,190201,SIERRA,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,12922,7626,5296,0.29,820.81,351.78,1172.6,7,231,289,392,
2016,190201,SIERRA,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,12905,7616,5289,0.39,1084.14,464.63,1548.8,7,231,289,392,
2017,190201,SIERRA,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,12886,7605,5281,0.39,1082.57,463.96,1546.5,7.1,231,289,392,
2018,190201,SIERRA,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,11818,8911,2907,0.39,1268.55,543.66,1812.2,7.5,231,289,392,
2019,190201,SIERRA,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,11718,9030,2688,0.39,1285.42,550.89,1836.3,7.8,231,289,392,
2020,190201,SIERRA,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,11495,8949,2546,0.39,1273.89,545.95,1819.8,7.9,231,289,392,
2021,190201,SIERRA,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,11210,8802,2408,0.41,1317.22,564.52,1881.7,8.2,231,289,392,
2014,190113,SIERRA,PASCO,PASCO,YANACANCHA,30595,27773,2822,0.38,3853.56,1651.52,5505.1,6.9,231,289,392,
2015,120909,SIERRA,JUNIN,CHUPACA,YANACANCHA,3475,618,2857,0.43,96.58,41.39,138,7,231,289,392,
2015,190113,SIERRA,PASCO,PASCO,YANACANCHA,30570,27750,2820,0.41,4152.81,1779.78,5932.6,7,231,289,392,
2016,120909,SIERRA,JUNIN,CHUPACA,YANACANCHA,3499,623,2876,0.43,97.33,41.71,139,7,231,289,392,
2016,190113,SIERRA,PASCO,PASCO,YANACANCHA,30585,27764,2821,0.4,4053.54,1737.23,5790.8,7,231,289,392,
2017,120909,SIERRA,JUNIN,CHUPACA,YANACANCHA,3522,627,2895,0.43,97.95,41.98,139.9,7.1,231,289,392,
2017,190113,SIERRA,PASCO,PASCO,YANACANCHA,30608,27785,2823,0.43,4320.29,1851.55,6171.8,7.1,231,289,392,
2018,120909,SIERRA,JUNIN,CHUPACA,YANACANCHA,2711,536,2175,0.42,82.12,35.19,117.3,7.5,231,289,392,
2018,190113,SIERRA,PASCO,PASCO,YANACANCHA,31326,29352,1974,0.43,4563.95,1955.98,6519.9,7.5,231,289,392,
2019,120909,SIERRA,JUNIN,CHUPACA,YANACANCHA,2708,518,2190,0.44,82.75,35.46,118.2,7.8,231,289,392,
2019,190113,SIERRA,PASCO,PASCO,YANACANCHA,31302,29247,2055,0.33,3522.8,1509.77,5032.6,7.8,231,289,392,
2020,120909,SIERRA,JUNIN,CHUPACA,YANACANCHA,2652,493,2159,0.44,78.6,33.69,112.3,7.9,231,289,392,
2020,190113,SIERRA,PASCO,PASCO,YANACANCHA,31264,29148,2116,0.33,3510.88,1504.66,5015.5,7.9,231,289,392,
2021,120909,SIERRA,JUNIN,CHUPACA,YANACANCHA,2586,466,2120,0.44,74.84,32.07,106.9,8.2,231,289,392,
2021,190113,SIERRA,PASCO,PASCO,YANACANCHA,31225,29035,2190,0.32,3391.29,1453.41,4844.7,8.2,231,289,392,
2014,30417,SIERRA,APURIMAC,AYMARAES,YANACA,1206,661,545,0.45,108.42,46.47,154.9,6.9,231,289,392,
2015,30417,SIERRA,APURIMAC,AYMARAES,YANACA,1193,654,539,0.43,102.17,43.79,146,7,231,289,392,
2016,30417,SIERRA,APURIMAC,AYMARAES,YANACA,1178,646,532,0.43,100.92,43.25,144.2,7,231,289,392,
2017,30417,SIERRA,APURIMAC,AYMARAES,YANACA,1164,639,525,0.43,99.82,42.78,142.6,7.1,231,289,392,
2018,30417,SIERRA,APURIMAC,AYMARAES,YANACA,1004,585,419,0.42,89.69,38.44,128.1,7.5,231,289,392,
2019,30417,SIERRA,APURIMAC,AYMARAES,YANACA,1006,576,430,0.44,92.02,39.44,131.5,7.8,231,289,392,
2020,30417,SIERRA,APURIMAC,AYMARAES,YANACA,987,558,429,0.44,88.96,38.13,127.1,7.9,231,289,392,
2021,30417,SIERRA,APURIMAC,AYMARAES,YANACA,962,535,427,0.44,85.92,36.82,122.7,8.2,231,289,392,
2014,20906,SIERRA,ANCASH,CORONGO,YANAC,717,299,418,0.45,48.95,20.98,69.9,6.9,231,289,392,
2015,20906,SIERRA,ANCASH,CORONGO,YANAC,708,295,413,0.43,46.05,19.73,65.8,7,231,289,392,
2016,20906,SIERRA,ANCASH,CORONGO,YANAC,704,294,410,0.43,45.93,19.68,65.6,7,231,289,392,
2017,20906,SIERRA,ANCASH,CORONGO,YANAC,701,292,409,0.43,45.62,19.55,65.2,7.1,231,289,392,
2018,20906,SIERRA,ANCASH,CORONGO,YANAC,664,256,408,0.42,39.25,16.82,56.1,7.5,231,289,392,
2019,20906,SIERRA,ANCASH,CORONGO,YANAC,672,253,419,0.44,40.42,17.32,57.7,7.8,231,289,392,
2020,20906,SIERRA,ANCASH,CORONGO,YANAC,666,246,420,0.44,39.22,16.81,56,7.9,231,289,392,
2021,20906,SIERRA,ANCASH,CORONGO,YANAC,654,237,417,0.44,38.06,16.31,54.4,8.2,231,289,392,
2014,10707,SIERRA,AMAZONAS,UTCUBAMBA,YAMON,2935,559,2376,0.45,91.74,39.32,131.1,6.9,231,289,392,6904950
2015,10707,SIERRA,AMAZONAS,UTCUBAMBA,YAMON,2877,548,2329,0.43,85.66,36.71,122.4,7,231,289,392,
2016,10707,SIERRA,AMAZONAS,UTCUBAMBA,YAMON,2855,545,2310,0.43,85.14,36.49,121.6,7,231,289,392,
2017,10707,SIERRA,AMAZONAS,UTCUBAMBA,YAMON,2835,541,2294,0.43,84.52,36.22,120.7,7.1,231,289,392,
2018,10707,SIERRA,AMAZONAS,UTCUBAMBA,YAMON,3207,590,2617,0.42,90.45,38.77,129.2,7.5,231,289,392,
2019,10707,SIERRA,AMAZONAS,UTCUBAMBA,YAMON,3242,585,2657,0.44,93.45,40.05,133.5,7.8,231,289,392,
2020,10707,SIERRA,AMAZONAS,UTCUBAMBA,YAMON,3245,575,2670,0.44,91.67,39.29,131,7.9,231,289,392,
2021,10707,SIERRA,AMAZONAS,UTCUBAMBA,YAMON,3247,566,2681,0.44,90.9,38.96,129.9,8.2,231,289,392,
2014,10312,SELVA,AMAZONAS,BONGARA,YAMBRASBAMBA,8070,2983,5087,0.61,662.93,284.11,947,6.9,231,289,392,6904950
2015,10312,SELVA,AMAZONAS,BONGARA,YAMBRASBAMBA,8304,3070,5234,0.5,560.25,240.11,800.4,7,231,289,392,
2016,10312,SELVA,AMAZONAS,BONGARA,YAMBRASBAMBA,8385,3100,5285,0.36,407.34,174.57,581.9,7,231,289,392,
2017,10312,SELVA,AMAZONAS,BONGARA,YAMBRASBAMBA,8453,3125,5328,0.38,433.44,185.76,619.2,7.1,231,289,392,
2018,10312,SELVA,AMAZONAS,BONGARA,YAMBRASBAMBA,5780,2256,3525,0.55,450.36,193.01,643.4,7.5,231,289,392,
2019,10312,SELVA,AMAZONAS,BONGARA,YAMBRASBAMBA,5802,2246,3556,0.54,443.8,190.2,634,7.8,231,289,392,
2020,10312,SELVA,AMAZONAS,BONGARA,YAMBRASBAMBA,5757,2210,3547,0.53,431.07,184.75,615.8,7.9,231,289,392,
2021,10312,SELVA,AMAZONAS,BONGARA,YAMBRASBAMBA,5706,2174,3532,0.23,182.51,78.22,260.7,8.2,231,289,392,
2014,200410,COSTA,PIURA,MORROPON,YAMANGO,9665,1556,8109,0.46,263.35,112.87,376.2,6.9,231,289,392,
2015,200410,COSTA,PIURA,MORROPON,YAMANGO,9567,1540,8027,0.47,261.91,112.25,374.2,7,231,289,392,
2016,200410,COSTA,PIURA,MORROPON,YAMANGO,9605,1546,8059,0.47,262.96,112.7,375.7,7,231,289,392,
2017,200410,COSTA,PIURA,MORROPON,YAMANGO,9642,1552,8090,0.47,263.98,113.13,377.1,7.1,231,289,392,
2018,200410,COSTA,PIURA,MORROPON,YAMANGO,8732,1988,6745,0.46,333.73,143.03,476.8,7.5,231,289,392,
2019,200410,COSTA,PIURA,MORROPON,YAMANGO,8855,1902,6953,0.5,346.87,148.66,495.5,7.8,231,289,392,
2020,200410,COSTA,PIURA,MORROPON,YAMANGO,8764,1804,6960,0.5,328.04,140.59,468.6,7.9,231,289,392,
2021,200410,COSTA,PIURA,MORROPON,YAMANGO,8696,1724,6972,0.49,307.26,131.68,438.9,8.2,231,289,392,
2014,160804,SELVA,LORETO,PUTUMAYO,YAGUAS,1221,218,1003,0,0,0,0,6.9,231,289,392,
2015,160804,SELVA,LORETO,PUTUMAYO,YAGUAS,1222,218,1004,0.58,46.05,19.74,65.8,7,231,289,392,
2016,160804,SELVA,LORETO,PUTUMAYO,YAGUAS,1231,220,1011,0.58,46.41,19.89,66.3,7,231,289,392,
2017,160804,SELVA,LORETO,PUTUMAYO,YAGUAS,1241,222,1019,0.58,46.84,20.07,66.9,7.1,231,289,392,
2018,160804,SELVA,LORETO,PUTUMAYO,YAGUAS,1486,222,1264,0.55,44.42,19.04,63.5,7.5,231,289,392,
2019,160804,SELVA,LORETO,PUTUMAYO,YAGUAS,1527,220,1307,0.54,43.47,18.63,62.1,7.8,231,289,392,
2020,160804,SELVA,LORETO,PUTUMAYO,YAGUAS,1559,217,1342,0.53,42.33,18.14,60.5,7.9,231,289,392,
2021,160804,SELVA,LORETO,PUTUMAYO,YAGUAS,1589,214,1375,0.51,40.16,17.21,57.4,8.2,231,289,392,
2015,100112,SIERRA,HUANUCO,HUANUCO,YACUS,7261,2306,4955,0.43,360.17,154.36,514.5,7,231,289,392,
2016,100112,SIERRA,HUANUCO,HUANUCO,YACUS,7283,2313,4970,0.43,361.34,154.86,516.2,7,231,289,392,
2017,100112,SIERRA,HUANUCO,HUANUCO,YACUS,7347,2333,5014,0.34,287.82,123.35,411.2,7.1,231,289,392,
2018,100112,SIERRA,HUANUCO,HUANUCO,YACUS,5269,2016,3253,0.42,309.09,132.47,441.6,7.5,231,289,392,
