PERIODO,DEPARTAMENTO,garbage_3,garbage_value
2015,CALLAO,QRESIDUOS_DOM,241205.15
2015,CALLAO,QRESIDUOS_MUN,344578.9
2015,CALLAO,QRESIDUOS_NO_DOM,103373.64
2015,CUSCO,QRESIDUOS_DOM,150302.49000000002
2015,CUSCO,QRESIDUOS_MUN,214718.1
2015,CUSCO,QRESIDUOS_NO_DOM,64415.36
2015,HUANCAVELICA,QRESIDUOS_DOM,26536.149999999998
2015,HUANCAVELICA,QRESIDUOS_MUN,37909.0
2015,HUANCAVELICA,QRESIDUOS_NO_DOM,11372.65
2015,HUANUCO,QRESIDUOS_DOM,61426.28
2015,HUANUCO,QRESIDUOS_MUN,87752.5
2015,HUANUCO,QRESIDUOS_NO_DOM,26325.57
2015,ICA,QRESIDUOS_DOM,127460.19
2015,ICA,QRESIDUOS_MUN,182086.5
2015,ICA,QRESIDUOS_NO_DOM,54625.79
2015,JUNIN,QRESIDUOS_DOM,167514.27
2015,JUNIN,QRESIDUOS_MUN,239307.3
2015,JUNIN,QRESIDUOS_NO_DOM,71791.83
2015,LA LIBERTAD,QRESIDUOS_DOM,276843.32
2015,LA LIBERTAD,QRESIDUOS_MUN,395491.1
2015,LA LIBERTAD,QRESIDUOS_NO_DOM,118647.16
2015,LAMBAYEQUE,QRESIDUOS_DOM,209774.1
2015,LAMBAYEQUE,QRESIDUOS_MUN,299677.3
2015,LAMBAYEQUE,QRESIDUOS_NO_DOM,89903.21
2015,LIMA,QRESIDUOS_DOM,2126151.43
2015,LIMA,QRESIDUOS_MUN,3037360.5
2015,LIMA,QRESIDUOS_NO_DOM,911207.73
2015,LORETO,QRESIDUOS_DOM,149579.02
2015,LORETO,QRESIDUOS_MUN,213684.7
2015,LORETO,QRESIDUOS_NO_DOM,64105.29
2015,MADRE DE DIOS,QRESIDUOS_DOM,16667.04
2015,MADRE DE DIOS,QRESIDUOS_MUN,23810.0
2015,MADRE DE DIOS,QRESIDUOS_NO_DOM,7143.01
2015,MOQUEGUA,QRESIDUOS_DOM,22895.38
2015,MOQUEGUA,QRESIDUOS_MUN,32707.7
2015,MOQUEGUA,QRESIDUOS_NO_DOM,9812.310000000001
2015,PASCO,QRESIDUOS_DOM,25170.16
2015,PASCO,QRESIDUOS_MUN,35957.4
2015,PASCO,QRESIDUOS_NO_DOM,10787.2
2015,PIURA,QRESIDUOS_DOM,282678.48
2015,PIURA,QRESIDUOS_MUN,403826.6
2015,PIURA,QRESIDUOS_NO_DOM,121147.98
2015,PUNO,QRESIDUOS_DOM,126886.43000000001
2015,PUNO,QRESIDUOS_MUN,181267.0
2015,PUNO,QRESIDUOS_NO_DOM,54379.950000000004
2015,SAN MARTIN,QRESIDUOS_DOM,105354.26
2015,SAN MARTIN,QRESIDUOS_MUN,150505.9
2015,SAN MARTIN,QRESIDUOS_NO_DOM,45151.83
2015,TACNA,QRESIDUOS_DOM,52624.72
2015,TACNA,QRESIDUOS_MUN,75178.2
2015,TACNA,QRESIDUOS_NO_DOM,22553.47
2015,TUMBES,QRESIDUOS_DOM,36914.21
2015,TUMBES,QRESIDUOS_MUN,52734.700000000004
2015,TUMBES,QRESIDUOS_NO_DOM,15820.39
2015,UCAYALI,QRESIDUOS_DOM,87664.43000000001
2015,UCAYALI,QRESIDUOS_MUN,125234.90000000001
2015,UCAYALI,QRESIDUOS_NO_DOM,37570.46
2016,AMAZONAS,QRESIDUOS_DOM,35698.25
2016,AMAZONAS,QRESIDUOS_MUN,50998.2
2016,AMAZONAS,QRESIDUOS_NO_DOM,15299.23
2016,ANCASH,QRESIDUOS_DOM,148850.25
2016,ANCASH,QRESIDUOS_MUN,212643.7
2016,ANCASH,QRESIDUOS_NO_DOM,63792.93
2016,APURIMAC,QRESIDUOS_DOM,40331.57
2016,APURIMAC,QRESIDUOS_MUN,57617.1
2016,APURIMAC,QRESIDUOS_NO_DOM,17284.98
2016,AREQUIPA,QRESIDUOS_DOM,208531.63
2016,AREQUIPA,QRESIDUOS_MUN,297903.0
2016,AREQUIPA,QRESIDUOS_NO_DOM,89370.68
2016,AYACUCHO,QRESIDUOS_DOM,74312.62
2016,AYACUCHO,QRESIDUOS_MUN,106161.5
2016,AYACUCHO,QRESIDUOS_NO_DOM,31848.28
2016,CAJAMARCA,QRESIDUOS_DOM,100792.59999999999
2016,CAJAMARCA,QRESIDUOS_MUN,143990.5
2016,CAJAMARCA,QRESIDUOS_NO_DOM,43196.87
2016,CALLAO,QRESIDUOS_DOM,223586.86
2016,CALLAO,QRESIDUOS_MUN,319409.8
2016,CALLAO,QRESIDUOS_NO_DOM,95822.93999999999
2016,CUSCO,QRESIDUOS_DOM,152967.22
2016,CUSCO,QRESIDUOS_MUN,218524.7
2016,CUSCO,QRESIDUOS_NO_DOM,65557.36
2016,HUANCAVELICA,QRESIDUOS_DOM,24864.4
2016,HUANCAVELICA,QRESIDUOS_MUN,35521.7
2016,HUANCAVELICA,QRESIDUOS_NO_DOM,10656.14
2016,HUANUCO,QRESIDUOS_DOM,59710.57
2016,HUANUCO,QRESIDUOS_MUN,85301.1
2016,HUANUCO,QRESIDUOS_NO_DOM,25590.24
2016,ICA,QRESIDUOS_DOM,130528.16
2016,ICA,QRESIDUOS_MUN,186469.0
2016,ICA,QRESIDUOS_NO_DOM,55940.66
2016,JUNIN,QRESIDUOS_DOM,170501.03
2016,JUNIN,QRESIDUOS_MUN,243573.4
2016,JUNIN,QRESIDUOS_NO_DOM,73071.86
2016,LA LIBERTAD,QRESIDUOS_DOM,265983.76
2016,LA LIBERTAD,QRESIDUOS_MUN,379977.10000000003
2016,LA LIBERTAD,QRESIDUOS_NO_DOM,113993.01
2016,LAMBAYEQUE,QRESIDUOS_DOM,208203.71
2016,LAMBAYEQUE,QRESIDUOS_MUN,297434.10000000003
2016,LAMBAYEQUE,QRESIDUOS_NO_DOM,89230.15
