PERIODO,PROVINCIA,POB_TOTAL,POB_URBANA,POB_RURAL,GPC_DOM,QRESIDUOS_DOM,QRESIDUOS_NO_DOM,QRESIDUOS_MUN,ORDEN
2014,GRAU,26819,10810,16009,6.1,1583.02,678.46,2261.46,76
2014,HUACAYBAMBA,22704,4104,18600,1.65,560.16,240.06,800.23,77
2014,HUALGAYOC,101597,23371,78226,1.42,4400.74,1886.03,6286.77,78
2014,HUALLAGA,25351,13638,11713,3.66,3030.39,1298.72,4329.12,79
2014,HUAMALIES,74897,20304,54593,5.54,4198.73,1799.45,5998.19,80
2014,HUAMANGA,272195,205737,66458,6.89,34514.02,14791.72,49305.74,81
2014,HUANCA SANCOS,10386,7038,3348,1.71,1053.99,451.7,1505.7,82
2014,HUANCABAMBA,126960,15472,111488,4,3027.05,1297.31,4324.36,83
2014,HUANCANE,65782,13337,52445,3.42,1761.37,754.88,2516.26,84
2014,HUANCAVELICA,157031,65604,91427,8.4,11115.13,4763.63,15878.79,85
2014,HUANCAYO,501384,447279,54105,12.91,78483.3,33635.7,112119.03,86
2014,HUANTA,106566,50911,55655,3.71,9184.22,3936.09,13120.31,87
2014,HUANUCO,306597,188655,117942,5.27,30664.71,13142.01,43806.71,88
2014,HUARAL,187779,155801,31978,5.46,26782.52,11478.22,38260.71,89
2014,HUARAZ,164768,123701,41067,5.41,23484.28,10064.7,33548.99,90
2014,HUARI,63293,22547,40746,7.19,3680.04,1577.15,5257.18,91
2014,HUARMEY,30491,23325,7166,2.6,6189.01,2652.44,8841.44,92
2014,HUAROCHIRI,80854,55072,25782,14.58,9343.4,4004.31,13347.71,93
2014,HUAURA,217102,187624,29478,5.34,34044.81,14590.65,48635.44,94
2014,HUAYLAS,56332,18658,37674,4.8,4672.44,2002.48,6674.95,95
2014,HUAYTARA,23142,6492,16650,7.2,1064.6,456.25,1520.84,96
2014,ICA,358162,327035,31127,6.09,54016.1,23149.8,77165.88,97
2014,ILO,70033,69215,818,1.31,9942.03,4260.87,14202.9,98
2014,ISLAY,52776,48015,4761,2.92,7727.67,3311.86,11039.52,99
2014,JAEN,198877,103487,95390,6.02,22512.52,9648.23,32160.76,100
2014,JAUJA,85381,59611,25770,15.22,10597.19,4541.65,15138.82,101
