PERIODO,PROVINCIA,N_SEC,UBIGEO,POB_TOTAL,POB_URBANA,POB_RURAL,GPC_DOM,QRESIDUOS_DOM,QRESIDUOS_NO_DOM,QRESIDUOS_MUN
2014,DANIEL ALCIDES CARRION,12268,1521636,53028,30391,22637,3.42,4505.33,1930.8500000000001,6436.1900000000005
2014,DATEM DEL MARAÑON,8871,964221,62578,16567,46011,3.66,3681.44,1577.76,5259.18
2014,DOS DE MAYO,8298,902831,52905,18382,34523,4.36,3420.04,1465.73,4885.76
2014,EL COLLAO,8300,1052515,85011,26962,58049,2.23,4255.0,1823.57,6078.6
2014,EL DORADO,8670,1101515,39622,13431,26191,3.05,2984.54,1279.08,4263.62
2014,ESPINAR,6004,646436,68913,31427,37486,3.65,5701.81,2443.62,8145.42
2014,FERREÑAFE,7479,841221,106024,56509,49515,3.15,12454.220000000001,5337.52,17791.73
2014,GENERAL SANCHEZ CERRO,16588,1982266,27979,12329,15650,4.78,1943.74,833.03,2776.74
2014,GRAN CHIMU,4874,524410,31215,6625,24590,1.62,911.51,390.64,1302.15
2014,GRAU,4543,429905,26819,10810,16009,6.1000000000000005,1583.02,678.46,2261.46
2014,HUACAYBAMBA,3714,401610,22704,4104,18600,1.65,560.1600000000001,240.06,800.23
2014,HUALGAYOC,1884,182106,101597,23371,78226,1.42,4400.74,1886.03,6286.77
2014,HUALLAGA,10437,1322421,25351,13638,11713,3.66,3030.39,1298.72,4329.12
2014,HUAMALIES,10296,1105566,74897,20304,54593,5.54,4198.7300000000005,1799.45,5998.19
2014,HUAMANGA,7176,801736,272195,205737,66458,6.890000000000001,34514.020000000004,14791.72,49305.74
2014,HUANCA SANCOS,1858,201210,10386,7038,3348,1.71,1053.99,451.7,1505.7
2014,HUANCABAMBA,12556,1602436,126960,15472,111488,4.0,3027.05,1297.31,4324.360000000001
2014,HUANCANE,13332,1684836,65782,13337,52445,3.42,1761.3700000000001,754.88,2516.2599999999998
2014,HUANCAVELICA,15390,1712090,157031,65604,91427,8.4,11115.13,4763.63,15878.79
2014,HUANCAYO,28882,3363355,501384,447279,54105,12.91,78483.3,33635.7,112119.03
2014,HUANTA,4715,504055,106566,50911,55655,3.71,9184.220000000001,3936.09,13120.310000000001
2014,HUANUCO,10842,1201278,306597,188655,117942,5.2700000000000005,30664.71,13142.01,43806.71
2014,HUARAL,16122,1807278,187779,155801,31978,5.46,26782.519999999997,11478.22,38260.71
2014,HUARAZ,1086,241278,164768,123701,41067,5.41,23484.28,10064.699999999999,33548.99
2014,HUARI,2520,336136,63293,22547,40746,7.19,3680.04,1577.15,5257.18
2014,HUARMEY,840,105515,30491,23325,7166,2.6,6189.009999999999,2652.44,8841.44
2014,HUAROCHIRI,43696,4822928,80854,55072,25782,14.58,9343.4,4004.31,13347.71
2014,HUAURA,16650,1809678,217102,187624,29478,5.34,34044.81,14590.65,48635.44
2014,HUAYLAS,1755,212055,56332,18658,37674,4.8,4672.4400000000005,2002.48,6674.950000000001
2014,HUAYTARA,13944,1449736,23142,6492,16650,7.2,1064.6,456.25,1520.84
2014,ICA,13741,1541505,358162,327035,31127,6.09,54016.1,23149.8,77165.88
2014,ILO,4545,540906,70033,69215,818,1.31,9942.03,4260.87,14202.900000000001
2014,ISLAY,2559,244221,52776,48015,4761,2.92,7727.67,3311.86,11039.52
2014,JAEN,7626,729678,198877,103487,95390,6.02,22512.52,9648.23,32160.760000000002
2014,JAUJA,36839,4094195,85381,59611,25770,15.22,10597.19,4541.65,15138.82
2014,JORGE BASADRE,5442,690906,9234,5484,3750,1.3800000000000001,928.53,397.95,1326.47
2014,JULCAN,4682,522010,31529,4572,26957,1.8,749.86,321.37,1071.22
2014,JUNIN,4410,482010,26220,18585,7635,1.67,2602.98,1115.56,3718.55
2014,LA CONVENCION,9126,970878,179775,56379,123396,5.76,13059.93,5597.1,18657.01
2014,LA MAR,4815,505055,87430,35942,51488,4.0600000000000005,6242.650000000001,2675.42,8918.070000000002
2014,LA UNION,4785,448866,14789,7138,7651,4.95,1170.47,501.62,1672.1
2014,LAMAS,19228,2425566,84597,39690,44907,6.68,8665.039999999999,3713.58,12378.63
2014,LAMBAYEQUE,15066,1683678,293841,144440,149401,5.83,26397.24,11313.11,37710.340000000004
2014,LAMPA,16755,2107055,51366,19770,31596,4.41,3090.77,1324.6,4415.36
2014,LAURICOCHA,6741,707028,38543,8871,29672,2.83,1287.17,551.66,1838.8200000000002
2014,LEONCIO PRADO,5667,603621,132352,88371,43981,3.3,17232.14,7385.21,24617.34
2014,LIMA,55169,6455246,8751741,8738261,13480,30.25,1979689.6,848438.4,2828128.0
2014,LORETO,7260,801515,70689,29551,41138,3.06,6636.400000000001,2844.17,9480.6
2014,LUCANAS,10437,1062831,67739,40295,27444,9.52,6958.65,2982.2599999999998,9940.93
2014,LUYA,1242,241776,51989,20859,31130,12.120000000000001,4272.96,1831.27,6104.23
2014,MANU,5966,680810,23710,7664,16046,2.44,1703.02,729.87,2432.88
2014,MARAÑON,2847,302106,31612,5374,26238,1.42,939.11,402.46999999999997,1341.58
2014,MARISCAL CACERES,8780,1103015,50927,31277,19650,2.9699999999999998,6196.84,2655.8,8852.630000000001
2014,MARISCAL LUZURIAGA,1476,170436,23804,2940,20864,3.6,482.02,206.57,688.59
2014,MARISCAL NIETO,8997,1080621,80600,70005,10595,2.67,11363.51,4870.08,16233.59
2014,MARISCAL RAMON CASTILLA,5826,641610,70974,21271,49703,2.26,4347.54,1863.23,6210.75
2014,MAYNAS,15818,1761171,547459,442903,104556,7.109999999999999,98742.01999999999,42318.009999999995,141060.03999999998
2014,MELGAR,15165,1897245,77111,36113,40998,4.4,6747.34,2891.71,9639.039999999999
2014,MOHO,6766,843610,25907,7488,18419,1.8,1227.97,526.27,1754.25
2014,MORROPON,15785,2004055,157123,91067,66056,5.43,18636.6,7987.110000000001,26623.72
2014,MOYOBAMBA,10335,1320621,144216,85872,58344,3.73,18049.86,7735.66,25785.53
2014,NASCA  ,5010,551515,58805,51853,6952,2.21,8226.27,3525.5499999999997,11751.81
2014,OCROS,1935,214055,10628,6155,4473,4.5200000000000005,1013.85,434.5,1448.36
2014,OTUZCO,11775,1306074,91913,22223,69690,4.5200000000000005,3737.75,1601.8899999999999,5339.610000000001
2014,OXAPAMPA,12332,1522436,91979,33524,58455,5.2,8893.39,3811.4500000000003,12704.84
2014,OYON,8379,905421,22593,14580,8013,2.88,3063.3999999999996,1312.88,4376.3
2014,PACASMAYO,5925,653515,103331,95888,7443,2.37,16221.880000000001,6952.2300000000005,23174.120000000003
2014,PACHITEA,3810,403210,72071,9686,62385,2.13,2008.8000000000002,860.92,2869.73
2014,PADRE ABAD,5547,750906,58492,29602,28890,1.65,5776.0,2475.44,8251.42
2014,PAITA,11109,1403528,127496,122479,5017,3.04,22111.679999999997,9476.42,31588.11
2014,PALLASCA,2244,236566,30565,15845,14720,4.95,2598.46,1113.6399999999999,3712.1099999999997
2014,PALPA,5035,552015,12394,8297,4097,2.25,1360.69,583.15,1943.8500000000001
2014,PARINACOCHAS,4092,405636,32838,18206,14632,3.54,2758.16,1182.07,3940.22
2014,PARURO,6939,729045,30847,10337,20510,4.05,1695.1399999999999,726.49,2421.65
2014,PASCO,19799,2471391,156981,117192,39789,4.98,16160.96,6926.1,23087.09
2014,PATAZ,15522,1700491,87268,23400,63868,5.84,3804.8,1630.64,5435.46
2014,PAUCAR DEL SARA SARA,5205,508055,11004,7289,3715,4.25,1003.6800000000001,430.16,1433.84
2014,PAUCARTAMBO,4671,486621,50828,9430,41398,2.8600000000000003,1656.71,710.01,2366.74
2014,PICOTA,17635,2207055,43823,26221,17602,6.22,6118.15,2622.06,8740.2
2014,PISCO,8108,884036,134841,117500,17341,4.62,23407.57,10031.82,33439.42
2014,PIURA,15505,2001084,755478,648047,107431,4.89,111592.78,47825.47,159418.23
2014,POMABAMBA,846,86410,29322,6536,22786,1.87,1197.6,513.26,1710.8700000000001
2014,PUERTO INCA,4785,504515,31649,6040,25609,2.96,1256.52,538.51,1795.03
2014,PUNO,24270,3151620,247151,150843,96308,6.83,28677.71,12290.46,40968.18
2014,PURUS,1851,250401,4405,1471,2934,0.61,326.89,140.09,466.98
2014,PUTUMAYO ,1482,160801,4232,3182,1050,0.61,707.0,303.0,1010.0
2014,PUTUMAYO   ,4452,482409,7421,1209,6212,0.61,145.08,62.18,207.26
2014,QUISPICANCHI,9450,974478,89359,30738,58621,5.29,4979.82,2134.19,7114.02
2014,RECUAY,2185,217055,19406,10939,8467,4.32,1608.3400000000001,689.28,2297.62
2014,REQUENA,16104,1765566,73632,42443,31189,6.63,7958.64,3410.85,11369.48
2014,RIOJA,15957,1987245,125715,88703,37012,5.25,18293.76,7840.179999999999,26133.949999999997
2014,RODRIGUEZ DE MENDOZA,858,127278,30886,9326,21560,7.32,2072.5,888.22,2960.69
2014,SAN ANTONIO DE PUTINA,8480,1055015,66836,45786,21050,2.48,9313.88,3991.67,13305.55
2014,SAN IGNACIO,4515,426328,147465,23105,124360,4.08,5073.61,2174.41,7248.0199999999995
2014,SAN MARCOS,4564,427028,54565,12534,42031,3.18,2163.85,927.36,3091.22
2014,SAN MARTIN,24983,3092705,184662,168066,16596,8.52,37344.19,16004.65,53348.840000000004
2014,SAN MIGUEL,8606,794391,56349,9136,47213,5.88,1515.3,649.41,2164.7200000000003
2014,SAN PABLO,2682,244810,23503,3675,19828,1.81,615.4300000000001,263.76,879.19
2014,SAN ROMAN,6802,844410,287823,266381,21442,2.0100000000000002,63869.84,27372.79,91242.64
2014,SANCHEZ CARRION,9636,1047236,152720,42191,110529,3.74,7937.14,3401.64,11338.8
2014,SANDIA,17075,2112055,69777,18589,51188,5.26,3638.1800000000003,1559.21,5197.389999999999
2014,SANTA,2052,196245,434646,408318,26328,4.44,68011.57,29147.83,97159.39
2014,SANTA CRUZ,7458,674366,45486,10093,35393,4.95,1655.31,709.4,2364.71
2014,SANTIAGO DE CHUCO,9700,1048036,61441,21147,40294,4.24,5028.53,2155.08,7183.61
2014,SATIPO,8868,964836,264455,71692,192763,4.37,12067.91,5171.97,17239.9
2014,SECHURA,9645,1204821,73617,69300,4317,2.5100000000000002,11922.08,5109.47,17031.54
2014,SIHUAS,2375,219055,30694,8009,22685,4.5,1313.35,562.88,1876.21
2014,SUCRE,5841,559966,12082,7351,4731,4.95,1205.3899999999999,516.61,1721.99
2014,SULLANA,12756,1604836,314836,284205,30631,4.08,58774.66,25189.14,83963.8
2014,TACNA,18015,2301055,312311,297571,14740,4.75,50126.42,21482.76,71609.16
2014,TAHUAMANU,4485,510906,13457,9560,3897,1.8199999999999998,2102.19,900.9300000000001,3003.12
2014,TALARA,9609,1204221,132878,130282,2596,2.72,24468.57,10486.54,34955.12
2014,TAMBOPATA,5950,680410,96938,81537,15401,2.19,11405.3,4887.98,16293.300000000001
2014,TARATA,14556,1843236,7828,6035,1793,3.63,996.05,426.87,1422.9099999999999
2014,TARMA,10053,1086345,109227,69882,39345,4.23,12470.54,5344.5199999999995,17815.06
2014,TAYACAJA,15993,1632790,107745,27691,80054,7.15,4477.02,1918.73,6395.73
2014,TOCACHE,8970,1105015,72690,35663,37027,2.77,7070.69,3030.3,10100.98
2014,TRUJILLO,12606,1431166,942729,921452,21277,5.52,177248.82,75963.76000000001,253212.58000000002
2014,TUMBES,10959,1440621,162879,150576,12303,2.68,22487.56,9637.529999999999,32125.08
