,PERIODO,UBIGEO,REG_NAT,DEPARTAMENTO,PROVINCIA,DISTRITO,garbage_3,garbage_value
59,2020,250204,SELVA,UCAYALI,ATALAYA,YURUA,QRESIDUOS_DOM,131.15
60,2021,250204,SELVA,UCAYALI,ATALAYA,YURUA,QRESIDUOS_DOM,164.09
61,2014,160201,SELVA,LORETO,ALTO AMAZONAS,YURIMAGUAS,QRESIDUOS_DOM,18441.01
62,2015,160201,SELVA,LORETO,ALTO AMAZONAS,YURIMAGUAS,QRESIDUOS_DOM,12195.41
63,2016,160201,SELVA,LORETO,ALTO AMAZONAS,YURIMAGUAS,QRESIDUOS_DOM,12355.32
64,2017,160201,SELVA,LORETO,ALTO AMAZONAS,YURIMAGUAS,QRESIDUOS_DOM,12458.25
65,2018,160201,SELVA,LORETO,ALTO AMAZONAS,YURIMAGUAS,QRESIDUOS_DOM,17908.69
66,2019,160201,SELVA,LORETO,ALTO AMAZONAS,YURIMAGUAS,QRESIDUOS_DOM,23188.03
67,2020,160201,SELVA,LORETO,ALTO AMAZONAS,YURIMAGUAS,QRESIDUOS_DOM,23944.34
68,2021,160201,SELVA,LORETO,ALTO AMAZONAS,YURIMAGUAS,QRESIDUOS_DOM,24402.45
69,2014,220809,SELVA,SAN MARTIN,RIOJA,YURACYACU,QRESIDUOS_DOM,720.55
70,2015,220809,SELVA,SAN MARTIN,RIOJA,YURACYACU,QRESIDUOS_DOM,232.56
71,2016,220809,SELVA,SAN MARTIN,RIOJA,YURACYACU,QRESIDUOS_DOM,231.12
72,2017,220809,SELVA,SAN MARTIN,RIOJA,YURACYACU,QRESIDUOS_DOM,229.73
73,2018,220809,SELVA,SAN MARTIN,RIOJA,YURACYACU,QRESIDUOS_DOM,413.8
74,2019,220809,SELVA,SAN MARTIN,RIOJA,YURACYACU,QRESIDUOS_DOM,496.11
75,2020,220809,SELVA,SAN MARTIN,RIOJA,YURACYACU,QRESIDUOS_DOM,489.25
76,2021,220809,SELVA,SAN MARTIN,RIOJA,YURACYACU,QRESIDUOS_DOM,484.43
77,2014,21210,SIERRA,ANCASH,HUAYLAS,YURACMARCA,QRESIDUOS_DOM,78.12
